name,description,labels,type
"Test Starter One","Test Starter One Description","V","starter"
"Test Starter Two","Test Starter Two Description","","starter"
"Test Starter Three","Test Starter Three Description","V","starter"
"Test Starter Four","Test Starter Four Description","","starter"
"Test Main One","Test Main One Description","V","main"
"Test Main Two","Test Main Two Description","","main"
"Test Main Three","Test Main Three Description","V","main"
"Test Main Four","Test Main Four Description","","main"
"Test Desert One","Test Desert One Description","V","desert"
"Test Desert Two","Test Desert Two Description","","desert"
"Test Desert Three","Test Desert Three Description","V","desert"
"Test Desert Four","Test Desert Four Description","","desert"
